player,squad,league,pos,age,nation,is_world_cup,playing_time_min,gls_per90,ast_per90,xg_per90,npxg_per90,xag_per90,sh_per90,sot_per90,touches_per90,prog_carries_per90,prog_passes_per90,tackles_tkl_per90,int_per90,clr_per90,pass_completion_pct,_match_score,_match_strategy,market_value_eur,market_value_raw,position_detail,age_tm,contract_expires,nationality_tm,image_url,local_image_path,sportsdb_image_url
Virgil van Dijk,Liverpool,Premier League,DF,33,NED,1,2611,0.0,0.009,0.026,0.15,0.001,1.201,0.0,73.555,2.164,8.94,3.711,1.828,6.201,84.8,100.0,full_key,4830000.0,€4.8M,DF,33.0,2027.0,NED,https://upload.wikimedia.org/wikipedia/commons/4/41/LFC_Parade_2019_01.jpg,app/static/players/virgil_van_dijk.jpg,https://r2.thesportsdb.com/images/media/player/thumb/9fe0tn1720452118.jpg
Trent Alexander-Arnold,Liverpool,Premier League,DF,26,ENG,1,1772,0.0,0.041,0.139,0.0,0.0,0.0,0.128,67.263,2.476,6.956,3.052,1.73,4.688,92.4,100.0,full_key,16350000.0,€16.4M,DF,26.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/5/5d/Trent_Alexander-Arnold_2018_%28cropped%29.jpg,app/static/players/trent_alexander-arnold.jpg,https://r2.thesportsdb.com/images/media/player/thumb/e35duu1771262822.jpg
Luis Diaz,Liverpool,Premier League,FW,27,COL,1,1206,0.745,0.337,0.326,0.564,0.225,3.734,1.252,48.563,5.089,4.204,1.052,0.96,0.565,82.7,100.0,full_key,70000000.0,€70.0M,FW,27.0,2028.0,COL,https://upload.wikimedia.org/wikipedia/commons/7/75/Lou_Diaz.jpg,app/static/players/luis_diaz.jpg,https://r2.thesportsdb.com/images/media/player/thumb/qkw97r1779753703.jpg
Darwin Nunez,Liverpool,Premier League,FW,25,URU,1,1066,0.587,0.205,0.479,0.393,0.085,4.779,1.24,43.687,3.756,4.771,1.406,1.022,0.169,82.1,100.0,full_key,65000000.0,€65.0M,FW,25.0,2027.0,URU,https://upload.wikimedia.org/wikipedia/commons/3/3e/2022-07-21_Fu%C3%9Fball%2C_M%C3%A4nner%2CFreundschaftsspiel%2C_RB_Leipzig_-_FC_Liverpool_1DX_2067_by_Stepro.jpg,,
Dominik Szoboszlai,Liverpool,Premier League,MF,24,HUN,1,989,0.038,0.179,0.005,0.016,0.259,1.693,0.365,63.598,5.701,6.455,2.304,1.352,0.0,85.4,100.0,full_key,8750000.0,€8.8M,MF,24.0,2027.0,HUN,https://upload.wikimedia.org/wikipedia/commons/5/52/Dominik_Szoboszlai_04012026_%281%29.jpg,app/static/players/dominik_szoboszlai.jpg,
Alexis Mac Allister,Liverpool,Premier League,MF,26,ARG,1,2657,0.0,0.251,0.226,0.055,0.322,1.789,0.242,76.913,4.324,7.679,1.97,1.941,0.28,84.8,100.0,full_key,21790000.0,€21.8M,MF,26.0,2028.0,ARG,https://upload.wikimedia.org/wikipedia/commons/4/49/Alexis_Mac_Allister_WC_2022.jpg,app/static/players/alexis_mac_allister.jpg,
Andrew Robertson,Liverpool,Premier League,DF,30,SCO,1,1546,0.291,0.077,0.062,0.038,0.111,0.0,0.038,68.499,1.701,6.974,2.562,1.539,5.336,86.2,100.0,full_key,4680000.0,€4.7M,DF,30.0,2025.0,SCO,https://upload.wikimedia.org/wikipedia/commons/9/9a/Andy_Robertson_Scotland_v_Bolivia_6_June_2026-43.jpg,app/static/players/andrew_robertson.jpg,
Cody Gakpo,Liverpool,Premier League,FW,25,NED,1,1551,0.373,0.178,0.371,0.292,0.073,2.43,0.754,49.556,4.382,3.863,0.135,0.62,0.779,73.8,100.0,full_key,29660000.0,€29.7M,FW,25.0,2027.0,NED,https://upload.wikimedia.org/wikipedia/commons/b/b8/Wembley.jpg,,
Harvey Elliott,Liverpool,Premier League,MF,21,ENG,1,949,0.116,0.208,0.155,0.227,0.285,1.398,0.874,72.33,4.825,9.728,2.381,1.698,0.817,90.4,100.0,full_key,18740000.0,€18.7M,MF,21.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/en/7/70/Donald_Harvey.jpg,app/static/players/harvey_elliott.jpg,
Alisson Becker,Liverpool,Premier League,GK,32,BRA,1,1115,0.019,0.0,0.101,0.024,0.0,0.397,0.302,41.371,1.647,1.781,0.0,0.015,0.515,49.4,100.0,full_key,9740000.0,€9.7M,GK,32.0,2028.0,BRA,https://upload.wikimedia.org/wikipedia/commons/4/4f/20180610_FIFA_Friendly_Match_Austria_vs._Brazil_850_1625.jpg,app/static/players/alisson_becker.jpg,
Ibrahima Konate,Liverpool,Premier League,DF,26,FRA,1,2470,0.0,0.035,0.026,0.012,0.046,0.115,0.127,61.642,1.468,7.673,3.185,2.49,2.593,83.4,100.0,full_key,14210000.0,€14.2M,DF,26.0,2025.0,FRA,https://upload.wikimedia.org/wikipedia/commons/c/c3/Ibrahima_Konat%C3%A9_in_2021.jpg,app/static/players/ibrahima_konate.jpg,
Ryan Gravenberch,Liverpool,Premier League,MF,23,NED,1,1161,0.171,0.183,0.216,0.264,0.18,1.492,0.0,66.913,5.589,7.952,1.803,1.137,0.532,86.2,100.0,full_key,10540000.0,€10.5M,MF,23.0,2028.0,NED,https://upload.wikimedia.org/wikipedia/commons/3/3e/2022-07-30_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFL-Supercup%2C_RB_Leipzig_-_FC_Bayern_M%C3%BCnchen_1DX_3342_by_Stepro_%28cropped%29.jpg,,
Wataru Endo,Liverpool,Premier League,MF,31,JPN,1,2466,0.144,0.255,0.024,0.238,0.088,1.801,0.613,70.261,5.009,7.741,3.521,1.712,0.828,86.5,100.0,full_key,18920000.0,€18.9M,MF,31.0,2028.0,JPN,https://upload.wikimedia.org/wikipedia/commons/f/fe/Wataru_Endo_at_Iran-Japan_pre-match_conference.jpg,app/static/players/wataru_endo.jpg,
Cole Palmer,Chelsea,Premier League,MF,22,ENG,1,3164,0.235,0.327,0.041,0.04,0.329,1.3,0.358,77.007,7.386,10.54,3.123,1.786,0.603,80.6,100.0,full_key,110000000.0,€110.0M,MF,22.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/2/23/Chelsea_FC_with_Donald_Trump_at_the_2025_FIFA_Club_World_Cup_final.jpg,,
Nicolas Jackson,Chelsea,Premier League,FW,23,SEN,1,3035,0.595,0.107,0.39,0.477,0.217,2.303,0.936,17.269,5.305,2.83,1.404,0.452,0.0,75.3,100.0,full_key,31210000.0,€31.2M,FW,23.0,2025.0,SEN,https://upload.wikimedia.org/wikipedia/commons/f/fb/Cole_Palmer_2025_FIFA_Club_World_Cup_Final.jpg,app/static/players/nicolas_jackson.jpg,
Moises Caicedo,Chelsea,Premier League,MF,23,ECU,1,3197,0.155,0.222,0.09,0.2,0.13,0.808,0.897,65.345,4.178,8.429,2.337,0.759,0.934,88.1,100.0,full_key,8730000.0,€8.7M,MF,23.0,2025.0,ECU,https://upload.wikimedia.org/wikipedia/en/a/a0/2025_UEFA_Conference_League_final_programme.png,,
Enzo Fernandez,Chelsea,Premier League,MF,24,ARG,1,3074,0.124,0.313,0.067,0.105,0.111,1.613,0.486,70.757,4.818,7.747,2.549,1.15,1.936,85.6,100.0,full_key,36570000.0,€36.6M,MF,24.0,2028.0,ARG,https://upload.wikimedia.org/wikipedia/commons/0/0a/Enzo_Fern%C3%A1ndez_2025_FIFA_Club_World_Cup_Final.jpg,app/static/players/enzo_fernandez.jpg,
Reece James,Chelsea,Premier League,DF,25,ENG,1,3074,0.0,0.082,0.214,0.011,0.0,0.354,0.692,58.45,2.953,7.056,2.634,2.221,5.329,76.9,100.0,full_key,10030000.0,€10.0M,DF,25.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/f/ff/Reece_James_FIFA_Club_World_Cup_final_extraction.jpg,app/static/players/reece_james.jpg,
Malo Gusto,Chelsea,Premier League,DF,21,FRA,1,2767,0.0,0.076,0.0,0.0,0.0,1.242,0.046,64.736,3.269,7.029,2.562,1.555,3.851,75.7,100.0,full_key,21510000.0,€21.5M,DF,21.0,2026.0,FRA,https://upload.wikimedia.org/wikipedia/commons/2/23/Chelsea_FC_with_Donald_Trump_at_the_2025_FIFA_Club_World_Cup_final.jpg,,
Levi Colwill,Chelsea,Premier League,DF,22,ENG,1,1933,0.222,0.131,0.067,0.161,0.025,0.0,0.287,61.845,3.952,7.947,3.424,1.699,6.31,85.4,100.0,full_key,50000000.0,€50.0M,DF,22.0,2028.0,ENG,https://upload.wikimedia.org/wikipedia/commons/b/b8/Wembley.jpg,,
Romeo Lavia,Chelsea,Premier League,MF,21,BEL,1,2378,0.311,0.3,0.249,0.033,0.21,1.071,0.713,75.813,5.078,7.317,2.835,1.672,0.246,92.1,100.0,full_key,8250000.0,€8.2M,MF,21.0,2025.0,BEL,https://upload.wikimedia.org/wikipedia/commons/f/fb/Rom%C3%A9o_Lavia_20042025_%281%29_cropped.jpg,app/static/players/romeo_lavia.jpg,
Noni Madueke,Chelsea,Premier League,FW,22,ENG,1,2707,0.516,0.192,0.283,0.363,0.128,2.851,0.901,25.085,3.624,3.321,0.916,0.881,0.0,72.2,100.0,full_key,38430000.0,€38.4M,FW,22.0,2026.0,ENG,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,
Marc Cucurella,Chelsea,Premier League,DF,26,ESP,1,2355,0.195,0.0,0.092,0.002,0.013,0.0,0.0,66.077,2.606,5.563,3.443,1.761,6.662,77.2,100.0,full_key,10210000.0,€10.2M,DF,26.0,2026.0,ESP,https://upload.wikimedia.org/wikipedia/commons/5/50/Spain_football_team_in_202_%28Marc_Cucurella%29.jpg,app/static/players/marc_cucurella.jpg,
Robert Sanchez,Chelsea,Premier League,GK,27,ESP,1,2920,0.0,0.0,0.0,0.0,0.004,0.0,0.507,36.089,0.0,5.654,0.06,0.0,1.954,61.7,100.0,full_key,12260000.0,€12.3M,GK,27.0,2025.0,ESP,https://upload.wikimedia.org/wikipedia/commons/e/ef/Bobby_Sanchez_New_Britain.jpg,app/static/players/robert_sanchez.jpg,
Benoit Badiashile,Chelsea,Premier League,DF,23,FRA,1,2383,0.002,0.111,0.098,0.0,0.114,0.561,0.031,63.247,2.104,7.933,3.814,1.798,5.418,86.3,100.0,full_key,18780000.0,€18.8M,DF,23.0,2026.0,FRA,https://upload.wikimedia.org/wikipedia/commons/2/2f/Beno%C3%AEt_Badiashile_FIFA_Club_World_Cup_final_extraction.jpg,app/static/players/benoit_badiashile.jpg,
Mykhaylo Mudryk,Chelsea,Premier League,FW,24,UKR,1,2574,0.529,0.19,0.228,0.225,0.093,2.028,1.074,53.134,6.145,1.136,1.033,0.476,0.0,67.4,100.0,full_key,30200000.0,€30.2M,FW,24.0,2026.0,UKR,https://upload.wikimedia.org/wikipedia/commons/3/35/%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D1%83%D0%B4%D1%80%D0%B8%D0%BA._26_%D0%BC%D0%B0%D1%8F_2021_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_1233123_%28cropped%29.jpg,app/static/players/mykhaylo_mudryk.jpg,
Joao Felix,Chelsea,Premier League,FW,25,POR,1,1387,0.528,0.069,0.343,0.48,0.1,2.842,1.1,33.334,4.589,1.437,1.844,0.03,0.479,71.8,100.0,full_key,40000000.0,€40.0M,FW,25.0,2026.0,POR,https://upload.wikimedia.org/wikipedia/commons/d/d8/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys.JPG,app/static/players/joao_felix.jpg,
Son Heung-min,Tottenham,Premier League,FW,32,KOR,1,1552,0.316,0.237,0.236,0.299,0.089,3.543,0.877,30.879,4.241,5.355,1.253,0.837,0.081,68.9,100.0,full_key,20720000.0,€20.7M,FW,32.0,2027.0,KOR,https://upload.wikimedia.org/wikipedia/commons/8/80/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_26.jpg,,
James Maddison,Tottenham,Premier League,MF,28,ENG,1,1178,0.241,0.13,0.087,0.29,0.042,1.164,0.669,69.016,5.341,8.002,1.72,2.195,0.6,87.5,100.0,full_key,12550000.0,€12.6M,MF,28.0,2025.0,ENG,https://upload.wikimedia.org/wikipedia/commons/3/34/Manchester_United_v_Leicester_City%2C_2_April_2022_%2821%29_%28cropped%29.jpg,app/static/players/james_maddison.jpg,
Pape Matar Sarr,Tottenham,Premier League,MF,22,SEN,1,1439,0.21,0.313,0.019,0.202,0.159,1.449,0.572,76.302,5.732,9.659,2.682,1.324,1.965,80.1,100.0,full_key,31440000.0,€31.4M,MF,22.0,2028.0,SEN,https://upload.wikimedia.org/wikipedia/en/2/2a/2025_UEFA_Europa_League_final_programme.png,app/static/players/pape_matar_sarr.png,
Yves Bissouma,Tottenham,Premier League,MF,28,MLI,1,1085,0.401,0.274,0.053,0.073,0.149,1.797,0.24,67.305,6.765,6.884,2.947,1.526,0.0,73.0,100.0,full_key,10020000.0,€10.0M,MF,28.0,2025.0,MLI,https://upload.wikimedia.org/wikipedia/commons/7/7a/Final_Whistle_Tottenham_1-0_Everton_2026.png,app/static/players/yves_bissouma.png,
Pedro Porro,Tottenham,Premier League,DF,25,ESP,1,2791,0.02,0.0,0.066,0.043,0.0,1.471,0.01,61.945,4.374,6.815,3.408,1.897,4.289,80.4,100.0,full_key,11310000.0,€11.3M,DF,25.0,2025.0,ESP,https://upload.wikimedia.org/wikipedia/en/a/ab/2025_UEFA_Super_Cup_programme.jpg,app/static/players/pedro_porro.jpg,
Cristian Romero,Tottenham,Premier League,DF,26,ARG,1,2475,0.0,0.108,0.04,0.0,0.228,0.079,0.392,56.826,3.36,6.058,3.268,1.663,5.095,72.8,100.0,full_key,7650000.0,€7.7M,DF,26.0,2025.0,ARG,https://upload.wikimedia.org/wikipedia/commons/f/fb/1_arsenal_crystal_palace_epl_champions_2026.jpg,,
